sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High
s_1896	SRF	1911	6738	6643	1217	6214	11681	15433	6320	5661	14908	24950	7457	869	2240	2465	1814
s_2629	FOXH1	1704	5553	4262	973	5279	9043	15180	7032	5273	6652	14064	4662	910	1612	3857	1771
s_3742	TGIF2	1833	5447	4517	927	5724	8289	7882	5158	9354	13085	20673	7228	1858	2311	3661	2983
s_5929	Non-Targeting Control	1389	5865	6787	1066	5770	10775	8116	4720	4445	17118	19248	7189	961	2981	2804	2132
s_239	ATF2	1960	3894	3795	766	5645	6825	8212	3841	6081	13954	19735	6365	1459	3076	2725	2965
s_2320	ZNF74	1822	4629	4460	1000	4188	7334	10125	3556	7928	18107	14324	10101	1151	1877	2336	2278
s_2654	IL1RL1	3255	7808	9202	1806	10833	20064	21016	11175	5576	18125	27601	6791	1033	4079	3271	2498
s_5893	Non-Targeting Control	3365	10969	10022	1700	10285	18959	11478	11028	7576	14491	14488	7548	1502	2929	4781	2596
s_4259	IL33	3471	8989	9034	1668	9455	16944	18924	8829	7917	20993	23192	7961	1619	3964	3633	2952
s_5703	Non-Targeting Control	1998	5933	6681	961	4499	10703	13129	3669	5244	10894	9294	6258	802	1437	2628	1661
s_1878	SPIB	2083	6634	5147	1118	7107	9209	10737	8849	3036	9065	14037	3054	561	1752	2054	1541
s_2032	TEAD1	1973	6317	6163	1253	7679	11169	11129	7249	4223	10864	12153	4904	666	1899	1791	1866
s_2217	ZNF3	1777	4797	6022	908	7654	11061	10583	4774	16780	13258	16933	11985	1014	1438	1621	1590
s_542	FOXE1	2241	8341	8249	1362	8596	12255	22177	7414	6181	17566	21099	5378	1299	3207	4113	2436
s_2026	MLX	1627	4912	3421	878	2357	5927	5608	3803	5084	14982	17643	5438	719	1861	2044	1498
s_2260	ZNF19	3034	7286	6750	1648	12525	15768	15733	9167	10446	16122	30100	7724	1750	5123	5544	3239
s_2812	TOPORS	1681	4920	4919	1080	7403	7910	7301	4640	8474	16811	16399	7690	986	1835	1553	2959
s_31	AIRE	1060	3121	4076	540	2114	3893	3020	3006	2021	5062	5018	4172	239	1918	1477	1119
s_613	GBX1	1221	4570	5403	633	4155	6350	6223	4258	3268	3915	5263	3435	629	2017	1576	1277
s_3081	ZNF423	1345	5938	4966	881	3125	6503	12408	4577	4216	10411	8706	5277	745	1604	2235	1561
s_1611	PPARD	1282	5240	4492	792	6323	5620	8799	4120	4481	9136	12954	4670	552	1585	2250	1577
s_3730	HIVEP3	1417	4285	3406	885	5219	11246	12400	6216	3712	7914	13292	4245	401	666	1173	982
s_3714	OVOL2	1799	6240	3773	1009	7429	11191	9344	4624	1907	8821	9428	4676	412	1297	1820	1741
s_309	DMRT1	983	2696	2945	461	3365	5590	3390	3296	1719	5805	13676	2568	737	1728	1538	1615
s_2473	ZNF223	2486	5792	5634	1117	5065	11597	7111	5179	5790	14812	14382	7474	1037	2920	3024	2617
s_903	HOXC12	1212	3189	3534	744	3656	5900	2237	2589	3162	6608	5065	2485	281	1221	2736	1410
s_3241	TAF5L	2281	4765	6696	1136	5649	13093	16221	6017	5062	11394	9622	5427	1422	2936	3361	2520
s_821	HOXA9	1887	6763	4828	1314	6213	7282	8599	4710	4806	12681	16311	5109	721	2220	1111	1912
s_2066	TFCP2	2162	7506	5995	1355	9106	18010	15549	8265	7478	14328	14214	6593	1173	2351	2569	2298
s_1020	IL6	2320	7450	7474	1334	8087	13547	14675	7991	8392	22065	31264	9844	1091	2203	3083	2203
s_1309	MYF6	2789	7691	10537	1739	15134	19867	17876	10100	7044	11860	14732	7665	1083	2977	4335	2551
s_3904	ZNF557	2540	7205	7426	1386	9538	12897	14637	7091	5196	20368	25198	5535	1160	2810	2330	1863
s_5251	DPRX	1791	6790	6923	1285	4538	11486	12758	6069	6320	14108	18375	5958	1171	3241	5303	2562
s_5389	CCDC169-SOHLH2	1584	4094	3745	982	6624	11897	12430	5319	4784	12452	3849	5913	724	2433	1906	1602
s_4399	ZNF816	1972	6057	5213	1165	7682	9083	12875	9311	6457	14963	18439	6527	707	1930	2308	2077
s_5695	Non-Targeting Control	2497	5666	5836	1265	9928	13199	12212	7989	6394	11284	15783	7168	1215	2256	2239	2606
s_2166	USF2	2267	5872	6702	1218	7010	8017	13298	4507	5726	11046	17884	3714	2355	1507	1791	2629
s_1010	IL4R	2236	6431	7810	1056	5797	10406	12462	5664	5498	10513	17017	4441	1031	2144	2331	2319
s_2907	KLF1	1014	2063	1578	343	3729	6521	4496	3429	2331	1731	8113	1864	273	397	191	395
s_1484	PAX5	1306	2738	3596	577	4900	4848	3338	2828	4760	4624	3418	4428	671	1721	2315	1570
s_2575	NR0B2	2183	4072	3189	759	3919	9179	7446	2778	2979	5142	9879	3693	682	1661	2302	1523
s_1167	MXD1	1291	3472	2541	735	3641	9210	10535	1957	2198	10723	19792	4361	660	2008	1297	1788
s_4029	LY6G5C	1826	4874	4425	982	7122	8380	7635	4872	8272	10533	20676	6187	953	2326	1746	1610
s_622	NR6A1	2348	7918	8957	1277	7084	14573	14869	7879	7445	15783	20702	8356	1930	3845	3633	3031
s_923	HOXD8	732	2084	2848	498	3954	4987	5066	1944	2356	4774	4099	3138	278	931	1032	1005
s_4269	ZNF682	3051	7066	7235	1368	9970	10095	8782	10005	8460	12644	9617	7182	1445	3438	2963	2611
s_2171	VDR	1250	4669	5393	920	5809	5970	3079	4050	4233	9014	12405	4145	799	1844	1805	1339
s_382	ELF4	1780	3193	2531	704	4218	7485	5377	2988	2005	11050	14093	3132	459	1216	2449	1488
s_1802	SLAMF1	2087	6550	5944	934	6465	10696	7055	4489	8468	14398	24372	11111	1079	2070	3204	1871
s_884	HOXC6	1279	4059	3142	841	3573	8332	6394	4002	6759	8665	11029	5871	767	1699	1421	1891
s_227	CCR8	1876	5316	4050	1192	6323	10162	8521	6558	4502	10493	18349	5729	1098	1663	3505	1749
s_4147	KDM2B	1177	4203	4792	818	3206	8965	7527	4601	7126	9886	12953	6336	569	1785	2091	1945
s_5257	DUXA	2201	7164	5951	1251	8669	13149	14403	6713	7867	18997	28026	8808	1039	2415	2553	2362
s_2896	ARID3B	949	4043	3940	707	3710	5934	6824	4202	2704	4610	5497	3018	569	1390	1715	1387
s_2367	ZNF133	1828	4385	4208	916	5155	9298	8602	6712	7196	14913	28339	8555	985	1711	2338	2031
s_2806	ZNF197	1243	3793	3724	852	2193	5315	9008	3795	4815	10586	10501	4991	521	1255	1427	1124
s_3724	DMRT3	1552	4654	4694	901	2758	8572	9517	4134	4584	11437	8306	4462	878	2127	3327	2573
s_5665	Non-Targeting Control	2989	9912	18995	1720	7581	15341	20804	10752	6955	26276	28479	14385	1959	3431	5785	3792
s_3049	ZNF652	1864	6861	7112	1186	5494	12001	13994	4026	6069	16611	16374	6212	1255	3299	3919	2361
s_5393	ZNF891	1873	4480	4505	1009	5116	10543	10746	4643	6076	9694	9797	5238	812	1701	1783	1731
s_1211	MEF2A	1676	6439	5186	1001	2998	10130	9858	5064	4496	13916	6024	5247	875	1455	3605	1582
s_4422	ZNF573	2371	6454	5626	1370	11696	12608	13908	8458	5173	16318	12820	5929	1272	2419	3322	2542
s_5219	ZNF705A	1511	5446	4157	809	3348	6588	8776	4178	5332	7180	11538	4244	529	1767	2960	1365
s_286	DLX1	924	2512	1983	471	2846	4049	5674	2373	2819	12774	7126	4184	813	593	971	919
s_1679	REST	1164	3068	4641	595	3600	6666	7328	3099	5147	5220	14615	3286	704	799	1156	705
s_2115	NKX2-1	1908	3750	3050	743	2589	5797	3993	3471	2594	15573	10886	3574	618	834	1595	1153
s_2794	NR1H3	2531	5666	5726	1154	10884	12253	12832	6819	4760	13420	18083	6430	1473	2692	3851	2358
s_5678	Non-Targeting Control	2758	9857	9904	1788	6682	20562	21562	8587	8446	18858	15931	8108	1210	4372	3631	3009
s_787	TLX1	1694	3645	4635	887	4964	6346	8097	3593	2683	6651	7011	2877	755	1437	1171	1760
s_5229	ZNF506	1904	6684	7531	1116	4315	8976	9851	5005	11054	14165	17823	8266	1219	2656	2896	2379
s_5416	Non-Targeting Control	2911	4857	5023	1132	5846	9572	11539	5688	11028	13538	15694	13713	981	3792	3061	3426
s_4116	ZNF527	2666	9022	7328	1561	7829	10512	11811	6296	9831	18727	28669	8482	1112	2662	2745	2715
s_2323	ZNF75D	2260	4702	3516	1039	6133	8865	6835	5927	6121	10027	6088	3894	460	2303	2409	1976
s_1879	SPIB	1027	3445	1794	510	3591	4919	4300	3161	5221	5367	14302	3453	420	967	719	1178
s_5447	Non-Targeting Control	2394	7217	6758	1423	7230	12030	10149	7309	7770	27148	37403	12178	1549	3646	3979	3591
s_1083	PDX1	2765	7033	5400	1511	12241	15441	14170	10113	7347	11575	23669	5604	1170	2916	4497	3138
s_895	HOXC10	1711	4690	4286	908	7826	10208	14403	5329	3309	12472	14072	3825	1138	2075	2834	2317
s_405	EMX2	1198	4057	3600	753	6034	6878	5782	2870	7054	13242	16105	5928	1195	2659	2439	2084
s_2070	NR2F1	1666	5223	5703	1019	8240	10024	14992	6643	2958	7881	6065	5141	873	1900	1455	2582
s_4854	FOXK1	3700	4293	3737	1303	10877	5099	5734	4936	13140	13075	16752	7523	1257	1519	1435	2306
s_1281	MYB	1877	2119	1255	989	11509	2291	3327	3361	4993	4015	9488	3711	1335	907	792	1375
s_2034	TEAD4	2139	4536	5773	1083	5565	7692	7263	3867	4896	12884	18973	7557	1608	1960	2108	3767
s_2203	ZIC1	2931	9190	7287	1632	9070	11545	9713	6873	6553	21072	12120	7366	1016	3809	5488	4275
s_1316	MYOD1	831	1874	2411	400	3097	2951	5651	2046	4050	4520	11984	2977	445	1074	1807	1016
s_383	ELF4	2351	6665	5796	1279	10193	12491	14817	7441	8883	14032	22985	5847	1052	2473	3095	2484
s_1658	RARB	1404	3478	3317	766	3554	5013	4916	4547	2456	13654	14462	4616	1044	1480	2189	1534
s_5939	Non-Targeting Control	1887	6023	5495	1291	7686	7180	7371	4029	6265	16516	17206	7574	1333	1709	2887	2313
s_5691	Non-Targeting Control	2548	7958	8392	1296	10181	14769	15221	8087	8214	11996	30994	5201	1398	3845	3892	3347
s_2511	LST1	1048	2541	2140	494	1973	5461	5114	1901	3177	8649	6027	2704	417	1326	1001	1394
s_3473	ELP2	1830	5117	4232	884	3227	7932	7942	4847	3182	10447	13116	5411	808	2358	2646	2294
s_151	CD1D	1271	3402	4406	607	5121	6716	9027	3566	4005	13633	16313	4197	845	3123	2221	2110
s_2923	AP4B1	1323	4156	2928	612	2551	4847	4057	2101	3059	3952	6288	2569	434	548	935	566
s_3900	IRX1	1756	3701	4114	1004	3159	9344	11445	3591	6481	15509	12586	6272	1062	2439	3311	2615
s_2764	ARNT2	2175	6021	5252	999	6258	12459	14196	6512	5828	9378	23668	7902	1273	2521	1555	2218
s_1165	MXD1	1123	3297	3308	603	5341	6688	6955	5841	3624	9288	8055	4902	515	1407	1846	1256
s_1977	TBX3	2218	6606	5101	1082	8010	14961	20993	6836	9371	26462	42519	9605	1788	3692	5952	2852
s_1427	NPAS1	5852	8622	5569	2059	6311	17285	13024	8876	6383	13409	7159	6710	734	2897	3084	2060
s_213	CCR5	1838	5430	6944	917	6141	13702	9920	5017	4508	8153	8526	5252	760	1797	1134	1449
s_1123	JUN	838	3359	2646	646	4676	4913	5451	2604	1461	8454	4597	3403	448	1086	1056	734
s_4184	ZNF566	3011	7572	6284	1709	13432	17078	20932	6156	7968	17432	15750	8798	1974	3610	6071	3877
s_1938	TAL1	784	1403	1998	376	5633	4834	3243	3199	4385	10399	13214	4838	481	620	527	939
s_5616	Non-Targeting Control	1453	4992	3823	924	3688	12055	10096	5249	5466	7791	8655	2782	1011	2449	1311	2227
s_4215	ZNF30	2097	5868	6099	1264	7886	12521	15498	5673	5926	13060	11610	5815	920	2115	2090	2068
s_2243	ZNF708	3079	7593	11977	1674	6918	20235	15035	9137	7014	21307	44590	8998	1666	3366	3845	2399
s_5572	Non-Targeting Control	3338	9306	10477	1762	5358	17632	14764	6229	11117	26030	23587	12001	1448	3340	4508	2531
s_882	HOXC6	1243	4300	4601	918	4735	7187	8965	4801	4467	10724	10113	4362	780	2301	1822	2290
s_3820	HIF3A	1180	4810	2647	761	7048	3750	7773	4919	4178	12696	18908	3730	1471	1210	1173	1884
s_2030	TEAD1	2381	7449	8266	1210	9118	13109	9139	7003	7685	25593	27076	10409	1147	2463	3889	2799
s_4323	IL17F	2568	9237	9169	1625	8408	16749	19157	7427	10726	23792	42128	8316	1465	3962	4501	2868
s_5729	Non-Targeting Control	1656	5284	3956	1038	6598	11895	11996	6160	6335	11444	12944	4769	775	1965	2394	1690
s_4865	FERD3L	1627	5191	3684	969	5147	5237	6261	3945	2615	5774	15552	8337	812	1626	1552	1366
s_3433	HES2	1383	5843	4408	709	11313	5065	6670	2905	2706	5865	6994	4583	726	744	801	1270
s_3938	ZNF385D	1623	3451	3922	966	4483	6839	5178	4174	2897	11048	19176	4726	1476	2461	2723	3029
s_4772	ZNF384	1934	6610	5117	1147	7838	8318	7316	3232	5221	6279	14051	4419	996	2525	1618	3232
s_1220	MEF2D	3556	5316	3355	1603	10482	13621	16121	12172	9589	9513	11762	7420	1007	2779	2937	2233
s_2135	TP73	1131	2830	3589	628	3451	7556	4913	3844	6613	6653	8403	3055	555	1930	1184	1355
s_1726	RXRG	2977	4905	6982	1211	9328	11023	13022	5776	4754	16613	9677	7279	729	2245	3790	1840
s_463	ETV1	2324	8121	6773	1305	7859	11322	14846	8793	10470	25699	21593	10330	1398	3440	1994	3176
s_4048	ZNF611	1004	2814	4068	476	1728	2454	5182	2816	3091	8670	9804	2609	539	1258	2178	1173
s_3418	SIX4	2330	6084	7051	1231	7435	10155	11316	5359	6363	13981	20348	8139	1276	2066	2820	2955
s_2583	KLF11	1377	3054	4709	679	4472	12644	8690	4830	4303	8213	2905	3700	770	2799	3292	2550
s_5700	Non-Targeting Control	2814	9025	7411	1832	4027	12758	15732	5555	9811	12308	13393	9362	2034	3301	3840	2845
s_1762	CCL5	2442	7928	6093	1429	5358	9298	13230	5963	5730	36074	36590	7966	1129	3587	4319	3036
s_3905	BHLHE41	1226	4668	5099	599	4266	8351	7863	4529	5624	13416	7381	4589	993	989	1033	1362
s_2882	AGPAT1	2047	3145	2620	795	4000	6018	6922	3165	3439	6335	18197	3692	976	1552	1726	1988
s_1974	TCF4	2198	5722	5252	1201	8248	11999	10247	6506	5879	13523	12814	5084	1004	2628	3472	2857
s_4459	LIN54	749	2726	2040	514	1773	7931	5146	2111	4940	9422	11175	3993	559	1326	2570	1159
s_3587	ARNTL2	1735	5706	6384	817	5707	6265	8637	4140	6000	12701	6418	5047	560	2000	2453	1697
s_3229	FOXB1	1623	5051	3771	964	3109	10668	12297	5396	5068	12094	10475	4347	859	1854	5418	1802
s_5206	ZNF880	3713	12758	14438	1881	10017	19781	20954	9638	10067	24291	34016	10657	1380	3068	4480	3077
s_4686	ZNF846	1233	4706	4651	896	5229	8159	6587	3995	3110	7628	11281	2770	545	2347	2307	2029
s_2487	ZNF232	2475	7904	7289	1471	5760	14682	16096	7306	6563	22719	12985	12031	1085	2421	3848	2244
s_5041	ZNF284	1808	4555	5240	1030	4853	7797	6238	3665	4788	11176	9279	4803	1051	1773	2617	1787
s_4281	ISX	1147	4589	5185	743	1767	8106	6218	3047	2422	8375	11169	3637	518	3172	2899	1974
s_5828	Non-Targeting Control	2815	7651	6943	1439	8698	10983	11393	6335	5024	18905	28707	7644	1054	3585	4080	2869
s_3183	ZBTB20	1399	3435	2233	592	3143	6029	5594	3405	5940	16627	12799	4901	1002	2140	2373	2264
s_5575	Non-Targeting Control	2753	7431	7012	1507	6084	15534	16949	9532	10176	17211	27137	6003	1070	2816	4201	3920
s_4244	ZNF439	1788	5716	5041	1030	5147	6498	8478	3969	4172	10682	7413	4187	1033	2112	2262	2643
s_450	ESRRG	1476	4433	3731	930	5490	5877	5047	4051	4894	11118	13035	3494	904	1628	2386	1555
s_4568	SIX5	1474	4737	5576	876	6523	6539	6740	3619	8340	11865	26996	8118	1089	3103	3809	3119
s_4661	ZFP1	2660	5556	5269	1306	2918	4936	6626	3602	9850	13968	15733	8152	990	1799	3985	2362
s_2137	NR2C1	2440	7782	6145	1411	7841	13305	9643	9840	8348	15422	6484	8014	783	1963	2597	1850
s_5455	Non-Targeting Control	1747	5722	6467	851	5999	10011	7469	4629	5840	14174	15836	8045	1302	3002	4697	2387
s_3231	FOXB1	766	1568	1071	375	2532	2904	2931	2713	2374	4332	2907	3009	204	789	1164	712
s_4022	ESX1	1083	3055	2614	539	3473	5854	6227	3428	1745	14641	12633	5104	438	1970	1873	1105
s_4166	ZNF341	2303	7655	6952	1241	6024	12441	9769	5022	7195	10548	7325	5141	1309	1879	1736	2213
s_3966	ZNF613	1690	5216	4906	881	4020	9439	10595	2760	15716	13558	17697	4603	995	2372	2760	1946
s_2523	MTERF1	2095	6688	5810	1213	7120	17586	15872	7798	5851	18249	16290	6619	1509	2650	4868	2565
s_1133	LAG3	1027	3637	3663	601	5002	6176	10198	3424	5152	6084	12950	4114	708	2666	3336	2067
s_1904	SS18	1200	2923	2720	698	4088	7354	4372	2588	3182	5436	4110	2457	709	1070	850	820
s_73	ATOH1	1248	5700	4465	749	3155	9582	6015	4738	3973	8884	10283	3410	709	1882	3027	1621
s_1161	LYL1	1173	3659	2601	764	4932	6265	5991	2203	4384	9270	13322	4236	903	1357	1725	1296
s_5647	Non-Targeting Control	3079	4607	5638	1231	4771	13800	11307	7341	4988	14753	9693	5233	953	1916	2900	2334
s_2549	DPF3	2138	6440	7211	1259	8304	10782	8914	5908	4447	12558	39181	7388	1888	3773	2524	3290
s_556	FOXS1	2076	4753	4778	1272	10888	11441	10905	6732	12935	10164	20074	10074	924	2061	3490	2025
s_3889	IRX6	1625	4374	3598	754	4643	5423	6711	3322	2262	8214	8894	5000	1160	1542	2059	1372
s_284	DDIT3	1980	5586	4672	987	7189	10870	8200	5630	6733	16322	22651	8247	1653	2807	4469	3112
s_2199	ZFY	2278	7323	6086	1211	9539	13130	10816	7703	12473	26103	36421	11507	1527	4456	4113	3848
s_2570	ZNF282	1436	3721	5090	830	7991	9273	6667	4841	2564	10808	14630	4418	916	1199	955	1385
s_4878	EBF3	2917	8522	5923	1443	5630	10114	14943	5115	8754	16767	16539	9799	1301	2315	1766	2774
s_4487	FOXR2	1095	3158	3819	614	3658	5254	5441	2754	3511	5344	11537	3286	463	745	1109	1220
s_3276	GRHL1	1504	3626	4628	804	4247	7454	11060	4669	4611	11480	7448	2956	726	1101	1676	1149
s_976	IFNGR1	1241	3879	4388	879	3552	6369	7416	4596	4557	9562	12906	4621	781	2421	2040	2220
s_1749	CCL2	1855	5282	6176	1005	5477	14129	10391	6371	5912	10690	9531	5205	1040	3220	2885	2370
s_1181	SMAD5	2244	6715	5843	1307	5987	10239	11848	6016	6018	13869	16666	8890	1173	2167	2485	3223
s_357	EGR2	2617	10007	7108	1318	8643	10233	11620	7070	8071	15677	14667	6054	857	2477	3409	2823
s_1359	NFE2L1	1950	5266	4510	890	6102	11057	11945	6455	5827	16846	27990	7761	1434	2974	4088	2452
s_578	FOSL2	2540	7950	6806	1669	8641	12692	17690	7160	5885	17386	17266	5061	859	1770	2297	1754
s_2154	UBP1	1612	5420	3813	818	4070	10844	12977	3995	5453	11882	10637	4804	592	1351	2156	1823
s_1374	NFIL3	3182	4326	3997	1342	9326	8491	11206	6561	8264	15171	18010	8392	1438	3284	3855	2758
s_5431	Non-Targeting Control	1478	6612	3819	1103	5420	8694	8208	4109	5193	11153	14335	5558	654	2044	2438	2093
s_761	FOXA2	2384	3944	3665	1015	6174	10039	11489	5481	8414	12056	8017	7037	985	1717	1170	2011
s_397	ELK4	1674	3654	3170	747	3438	5940	6589	4070	3875	9796	10581	5444	733	1791	2855	1670
s_5485	Non-Targeting Control	2134	5439	4939	1156	7107	10350	13263	6572	3146	7470	5933	6216	1174	1946	2384	1713
s_2613	JRKL	1264	4609	5317	834	4379	9412	8880	6314	5846	14488	16951	8472	761	2069	2823	2043
s_3579	BARHL1	1791	4714	2920	867	1365	6496	10597	3128	4968	8902	10168	3724	677	3145	2552	2418
s_3973	NANOG	1117	2333	2574	591	4094	5936	6902	3185	1860	3883	2753	1963	743	1350	1321	1555
s_4742	BHLHA15	1171	3230	2257	690	2174	5607	3950	1712	2286	4931	11065	2250	441	1094	914	1001
s_947	HES1	685	2828	2141	451	1717	4717	3528	2340	2260	4621	3024	2612	384	1323	1375	1104
s_2889	MXD4	2007	3748	3407	955	5723	7916	9383	3929	5131	8318	16624	4217	740	1739	1668	1410
s_5500	Non-Targeting Control	2433	7981	7398	1396	5836	11529	14200	6412	5325	14953	8710	8345	982	2548	2461	2350
s_4666	ZNF519	1441	4397	3992	783	3502	12395	8270	4642	4188	9970	11658	2347	706	1241	1469	1218
s_2452	ZNF200	2651	6411	6328	1324	8946	15725	16443	6778	6944	21911	20985	10485	1937	2769	3629	2760
s_3489	BATF3	2908	3951	4202	1108	5564	9572	4859	4224	2823	6285	9172	3168	739	1914	3019	2025
s_4524	ZSCAN29	1798	5415	4576	1137	3972	10367	8970	5038	4154	9013	14354	2825	777	1681	3033	1858
s_1949	TBX1	1400	3339	3896	723	7586	9828	13590	6795	3289	4336	5963	3942	309	955	1523	1275
s_4977	ZNF454	3104	10574	7977	1971	8323	11868	11835	6742	5288	11962	22453	7406	1312	2517	3440	2574
s_762	FOXA2	1466	3312	2176	632	3913	8479	7881	2786	5320	9046	10983	5020	795	1661	1950	1939
s_5332	ZNF730	767	2282	1668	545	4416	4675	8883	3049	2773	3793	5723	1464	298	1318	305	661
s_3831	GZF1	1953	7279	6495	1149	4921	7936	6903	3877	4871	9866	6318	5150	730	2546	3995	2254
s_5077	ZNF860	2173	5796	5236	1242	5802	8762	7198	6239	6522	11554	8683	5400	777	2427	3606	1758
s_3865	BCL11B	4263	5877	3309	2155	8076	13242	47960	9699	10764	12100	4619	7705	1127	2822	2166	2690
s_2087	TFE3	1570	4833	3434	788	3980	8053	7543	3351	6498	9885	10278	4781	715	2509	2775	1967
s_3355	ZNF580	1481	4929	5742	895	3055	11217	9475	5553	11859	15092	7256	8082	1480	3057	2661	3526
s_1299	MYCL	2338	6294	6201	1407	6486	9630	19147	6245	3036	8722	6871	5691	1094	3187	3764	2404
s_4179	ZNF587	769	2278	1881	431	3860	2975	6731	3109	2087	6503	9754	3133	454	1057	855	1404
s_3482	ZNF331	2136	6150	6301	1060	7263	10560	11045	7389	4822	11587	13651	7317	1359	2665	4718	2528
s_3754	PKNOX2	1868	4377	5099	840	4964	7157	9738	3252	4188	8825	14073	4270	924	1738	1619	1336
s_4746	ZNF596	2887	5335	5639	1400	8652	13509	10502	7653	6413	14617	15750	5543	782	2693	3428	2620
s_3083	ZNF423	1969	5874	6144	1114	8072	8723	13417	6884	5735	17272	8861	5687	1139	2323	3965	2380
s_2274	ZNF26	1404	4394	4740	854	4708	4415	6159	3770	4066	10418	7785	4662	1356	2339	1367	1452
s_3555	ZNF302	1440	3735	3458	943	2391	6272	6559	3623	4126	9288	8513	4587	826	2625	3486	2007
s_2693	HAND1	1786	4140	3591	939	4579	12036	11118	5358	4876	8618	11569	5722	1173	1852	2981	1961
s_5969	Non-Targeting Control	3168	7610	8287	1608	7538	19716	18180	9408	7327	19839	30767	6564	1752	2828	4217	2970
s_3372	KLF3	1553	3956	4522	850	6649	11727	9719	4614	4965	7851	11199	4823	739	2740	4028	1831
s_1200	MAX	3125	7650	7742	1484	17237	15725	13485	11437	7769	16678	10147	6202	931	3643	4089	3161
s_3017	KLF8	2996	5581	7554	1573	8673	18120	17039	4840	7779	21120	40370	9337	1292	4150	3534	3513
s_5621	Non-Targeting Control	1345	3270	5103	630	6141	5864	4855	3172	3706	11376	12541	5522	846	1273	1132	1452
s_1265	MSX1	792	3808	2547	566	2947	4839	4100	2745	2638	4712	6372	2542	1086	979	653	1103
s_676	GZMB	1306	4136	3239	744	4978	9182	8504	3244	3854	10532	9101	3007	1125	1510	2891	1767
s_5527	Non-Targeting Control	1533	4102	4047	829	2559	8160	5792	2982	3851	8925	5306	4854	784	1838	2103	1547
s_4015	ZSCAN16	2226	5424	6194	1085	8231	10884	12371	5865	7083	16135	20435	6503	804	2637	2366	2501
s_217	CCR6	2142	7163	5761	1226	5572	19950	16974	6372	9129	14651	16015	5837	1135	3453	4061	2748
s_5082	ZNF879	1495	3095	3099	688	3626	3835	3278	2543	2776	7826	6674	2349	313	1033	1259	1174
s_3262	KLF15	2278	8080	5003	1436	10649	15576	18093	8525	6877	12596	16606	4543	957	3321	3843	2829
s_4869	ZNF396	3108	7066	8417	1374	9464	15566	11428	7517	11180	22077	33386	10677	1406	4077	5776	2760
s_2300	ZNF37A	1390	3637	3436	885	5438	13115	10293	4860	3773	13615	9531	4289	674	968	1323	1440
s_5359	ZNF705B	2682	8390	7869	1593	9136	18035	18727	9231	6226	18248	13931	7885	729	2211	3578	1937
s_5637	Non-Targeting Control	2171	5829	6324	1134	7151	15223	20296	6669	4935	17485	17749	7196	1441	2244	3110	2253
s_764	FOXA2	1394	3979	4222	755	4649	5251	4306	2162	2644	6688	3270	2202	314	2619	1169	2481
s_5906	Non-Targeting Control	1288	4254	4466	768	4643	9923	10555	5295	7536	13816	17051	10371	890	2005	2762	1478
s_5005	ZNF181	1522	4384	5289	922	5048	6082	7003	4142	9594	12689	4314	6030	1078	2490	3388	1835
s_819	HOXA7	1609	3381	3208	798	4095	8828	10772	3911	2433	4619	3929	2033	472	1527	1527	1229
s_3125	ZNF281	995	3506	2314	612	6801	4635	6705	3708	2104	6108	8416	2217	802	987	414	1134
s_4693	ZNF564	1240	3461	2857	505	4641	5362	7325	3085	3379	4772	8812	2243	401	688	1850	993
s_1815	SNAI1	1620	3645	3248	988	5979	13433	15507	6547	4678	14430	9762	5765	974	3020	2360	2284
s_1851	SOX15	643	859	1761	247	2487	1478	1670	1600	1833	2312	5913	1913	148	816	921	674
s_2498	PRRC2A	532	1946	1797	445	1575	5021	6437	1991	2865	4631	7677	3388	400	1087	1323	1189
s_1	ABCF1	1026	2316	1896	456	3175	3832	4670	1852	2019	2395	2939	1806	282	483	682	638
s_4398	ZFP3	1687	5877	5007	1038	6241	9766	9172	6497	4039	9542	12572	3041	798	1975	2954	1757
s_4264	ZNF697	1344	3441	3173	639	3678	5543	3913	2445	1731	6821	5710	1399	374	652	556	784
s_3707	ZNF71	817	2645	4200	395	3004	2594	2343	2176	3149	7913	2566	3069	349	1088	2451	1627
s_4045	ZNF611	3431	10011	10041	1837	9969	17551	15711	9234	8529	27155	36033	13176	1426	4285	11000	4162
s_886	HOXC8	1925	4118	5382	1008	4200	10299	8416	3309	5345	6738	9566	4986	1016	2264	2944	2144
s_2734	SOX13	796	2571	2861	402	2278	3508	3289	3227	1283	5407	1235	3397	728	1310	753	1402
s_2122	TNF	2137	6515	6933	1147	7657	9613	13136	6268	9383	14625	18284	8353	1373	3384	2516	2948
s_659	GTF2B	1416	3693	2880	743	5760	5816	5629	5185	4081	5974	12019	4132	728	898	1684	1573
s_5321	ZNF735	1571	5367	5316	832	4888	11229	8882	6539	4003	8549	12029	3831	981	1654	2244	2196
s_1193	MAFG	889	2799	2654	569	2922	6826	4765	2843	3766	4813	8434	3125	1126	2750	2453	2545
