sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High
s_1086	IRF1	1171	2584	2029	473	2863	4825	1809	2970	5696	14817	9451	6112	726	1895	1147	1253
s_3694	NEUROD4	1604	5642	5001	944	5601	6936	6503	4491	3409	8099	13501	4845	897	1821	2390	1551
s_5758	Non-Targeting Control	1668	5492	6403	899	4521	8842	6704	4360	10447	19719	25777	10061	1073	2765	4172	3124
s_2876	DEAF1	1473	3449	3820	735	4213	7499	6998	4801	3764	8296	15543	4733	762	1168	1573	1386
s_3727	IL21	1981	5330	7359	1163	5605	10532	11895	4951	6708	13749	9555	6990	939	2674	3471	2082
s_3291	TLX3	916	2137	2774	503	4574	7938	4085	3120	2031	5845	14759	2530	720	969	876	1666
s_1471	PAX2	1374	2725	3496	742	1228	7689	9374	3095	1482	6793	5702	2011	652	1898	1136	1649
s_4222	ZNF616	1865	9657	7621	1864	5750	8144	9624	4342	2971	5311	14492	3894	569	1633	1435	1209
s_1352	NFATC4	2201	4530	3560	1145	9822	13947	11482	8348	5116	10441	36606	5017	964	4507	3218	2613
s_1970	TBX15	1634	5285	5591	990	6981	9218	6433	6462	5458	9853	5665	4313	769	1689	2314	1658
s_2293	ZKSCAN1	2399	6071	5428	1141	7183	10704	11747	8228	9864	17999	18884	5543	1349	2654	2446	2619
s_3368	TFDP3	2324	5323	6274	1259	6113	12499	13791	5672	3616	12113	6653	5527	729	2658	2130	2016
s_4996	SNAI3	658	1981	2326	527	2515	4843	2750	3677	3644	4774	7625	4379	678	1797	2613	1170
s_3112	USP22	2139	5819	5546	1372	9067	16374	13472	7810	4391	10106	2564	6407	1209	3485	1371	3118
s_5642	Non-Targeting Control	2447	9051	9687	1423	6408	17819	20749	9131	8433	20188	34136	8584	1404	6177	6464	3587
s_235	CREB1	1118	3338	3451	582	4559	4761	6014	1828	3049	6386	3014	3315	565	1472	800	1154
s_516	FOXD1	1401	4456	4849	893	3808	11707	12394	3744	4580	6212	4896	2727	688	2192	1987	1721
s_5835	Non-Targeting Control	2491	7187	7895	1810	7474	14279	14460	8328	10767	17268	18400	11660	950	3010	5051	2658
s_1212	MEF2A	2237	6343	6393	1147	8094	11504	9470	8452	5857	7249	9973	4464	1217	3256	3570	2488
s_3239	FOXP1	1030	5158	6657	718	3445	9449	8577	4962	2220	10007	6108	2677	396	1776	2666	1186
s_2068	TFCP2	1789	4548	4278	1035	8709	6442	5514	4963	3655	9237	9493	3515	675	1830	2147	1262
s_5115	TBPL2	2935	6247	7145	1139	5364	12580	13374	5255	6679	15359	14537	8976	1165	2844	3565	2662
s_2837	HMG20B	1938	4476	5270	892	4047	6517	5753	4306	2887	12090	19387	4230	677	2046	2400	1622
s_5035	ZKSCAN2	2198	4325	5274	1010	11484	10571	10461	6189	4506	11761	11273	5497	780	2575	1549	1777
s_3206	EHF	2748	8256	9143	1416	6465	12727	11424	5200	5792	19977	8940	6634	1589	3135	2880	3236
s_2843	KLF2	2415	5311	4585	1081	8601	12977	3861	7675	8412	7453	23136	5758	1357	1728	1942	2391
s_1274	MTF1	1696	3955	3883	911	7146	8992	7415	5570	5364	6675	8186	4041	921	4242	3109	3339
s_712	MNX1	1098	3479	3706	539	3096	5727	11699	4081	3974	7826	11330	2525	546	956	913	956
s_4618	TCF23	1599	4737	4945	1184	7586	5623	6840	3695	4998	13103	18665	5464	937	1787	2560	2353
s_669	GZMA	2770	5425	6639	1522	9927	18003	28361	7193	7870	13235	11662	5546	1143	3157	1567	2970
s_3720	ZNF250	1461	3592	3897	828	5537	8769	7290	5807	4858	12493	11638	8415	744	2482	3468	2352
s_2814	FLOT1	1061	3890	4843	754	4726	6431	7067	3847	2921	8707	7483	6256	1063	1244	1722	1149
s_2612	TP63	769	2992	2376	448	2358	3328	5240	1451	2827	8832	7149	1910	589	1013	1629	1094
s_2922	AP4B1	1536	5282	6258	900	5538	4716	4662	2946	3480	6850	11673	3107	448	1740	2451	1290
s_413	EN2	818	3544	3691	510	2096	5437	3340	2288	4447	5614	8494	3342	369	2432	3155	2190
s_2750	ST18	2458	6418	5672	1457	7461	14945	11244	6881	6855	20211	13437	8234	1587	1993	2927	2132
s_3331	FOXP3	2852	10635	10287	1712	7099	16461	15602	8477	7892	18145	21041	8050	1276	4155	5478	3662
s_2385	ZNF141	1438	5382	3786	897	6668	8242	8254	4579	3916	9919	22390	5584	1164	2557	3022	2383
s_1695	RFX4	2006	6146	6758	1328	10072	12373	12617	5898	5331	17816	32770	7120	1734	3378	3033	2462
s_4904	NPAS4	1752	4757	4033	889	4137	6944	10588	3647	5963	12412	15902	4368	1246	3022	1631	2083
s_1146	LMX1B	1040	2297	1690	445	3563	5784	6834	4003	4352	9150	7365	4319	579	1493	2444	1730
s_2823	ZNF443	2019	5538	4797	1023	4568	7816	11693	4015	7094	12147	11590	4720	1184	2071	2505	1537
s_5533	Non-Targeting Control	2057	6319	6406	1295	5625	8298	10848	5375	6883	13961	31046	8673	944	3014	3503	2150
s_5849	Non-Targeting Control	1345	4098	4413	610	4208	7793	9832	3940	3351	11998	5163	4805	497	1834	1284	1719
s_1807	SNAI2	2053	6489	4930	1236	8743	12426	10245	6721	5000	11079	13194	5590	876	1587	3446	1824
s_5355	FOXO6	2497	5648	4323	1004	7374	8671	10931	5897	5321	14479	19417	7659	871	2657	4301	1850
s_3804	LHX5	2625	6697	9170	1301	5656	11996	9007	5546	5762	10257	14442	5189	567	2188	2407	1695
s_1753	CCL3	1169	2908	2499	488	3200	5651	5118	2542	2080	14088	7749	3369	665	1156	1680	1144
s_502	FOXF1	2187	6180	7139	1390	6513	13592	15020	9897	6972	15252	38317	5640	1063	3066	5384	2285
s_1884	SPP1	1629	6209	3726	1029	5362	8969	7922	3479	3374	9573	20867	3526	755	1709	2572	1975
s_4127	ZBTB37	962	1905	1959	514	3766	4251	6503	3088	3854	5975	2459	3152	352	955	1353	865
s_5987	Non-Targeting Control	2815	7579	8358	1841	6383	8275	8376	6471	5709	16438	22448	7944	1234	2464	3544	2601
s_3453	ZNF562	4096	10711	9353	2261	6238	12187	15497	6815	7694	18587	25833	10735	2250	4582	5859	5472
s_3491	BATF3	819	3042	2672	468	1855	3474	6011	2223	2264	6127	3759	2712	438	1198	1224	1227
s_1115	ISL1	1016	3913	3051	649	2509	5778	6699	2479	5465	7735	8375	4275	623	975	771	1445
s_5890	Non-Targeting Control	1946	6594	7772	1424	3271	14723	11405	6113	6849	19504	22238	8094	1685	3609	4680	2804
s_2236	ZNF10	1992	6273	5090	1189	6942	14509	16893	7133	5897	12621	22897	6120	1200	4700	3277	2787
s_1727	RXRG	1353	3054	3050	723	4552	7240	5013	4270	3128	7802	9622	3940	884	1295	2414	1873
s_238	ATF2	1510	5672	4401	754	2938	7141	8879	4439	3832	7999	14332	3937	542	1247	1757	1173
s_5290	ANHX	921	2920	2276	502	1956	6767	9992	2437	2796	9368	18493	3088	674	1287	2282	1406
s_5886	Non-Targeting Control	2284	5029	4065	1060	4326	9352	5512	4846	7244	14095	13832	7741	759	2196	3691	2293
s_5957	Non-Targeting Control	2269	6525	9718	1511	8580	9089	11859	6702	7554	11847	13899	11265	1194	2092	2668	1498
s_2107	THRB	2623	9943	8284	1599	9349	17221	15557	9275	7228	17109	29966	10677	1415	3591	4293	3097
s_4085	ZIC4	3012	7870	6769	1323	7254	11504	12598	6443	4367	12142	33960	5531	1004	2659	1446	2727
s_2327	ZNF75A	1221	5548	5047	806	4820	5389	9044	3696	4098	10420	6981	3355	779	1538	3790	1757
s_5592	Non-Targeting Control	1230	3507	4468	799	3867	6392	10196	3693	3559	6593	8889	5327	944	2110	2543	1490
s_5746	Non-Targeting Control	2943	9318	8703	1721	11387	16735	19642	7994	5864	20293	27890	7382	2020	5008	3950	4046
s_5357	FOXO6	614	2017	2165	314	2519	3912	2731	2416	1486	4629	4425	2370	244	446	271	576
s_5442	Non-Targeting Control	2464	7505	6498	1344	7990	22003	17587	9816	7124	12505	17793	5963	1272	2541	3325	2314
s_2809	TOPORS	1631	5277	4704	1025	7099	9936	8115	4972	3713	9578	16401	4010	907	1525	2087	1703
s_1516	PGR	1183	3528	2732	769	2979	9586	11584	4426	3586	13530	9615	4646	602	1073	1636	1641
s_1556	POU1F1	2104	4526	4011	984	11647	9273	9040	5469	5248	9389	19315	4491	928	1353	3175	1503
s_4074	ZNF484	2599	6158	5767	1460	10432	12714	15470	9774	9376	14891	21319	7655	1274	2995	2722	2258
s_4575	ZNF582	2672	5871	6103	1311	9038	21153	17435	7510	9003	17429	31461	9636	1560	4763	6999	3758
s_240	ATF2	1110	2678	1991	556	4443	3854	3624	3515	2798	5469	3351	2134	310	1718	1262	854
s_1816	SNAI1	1143	5364	4440	811	5198	5979	5495	3841	6911	16893	18096	5945	785	1816	2269	1547
s_1942	TAL2	5316	6306	5882	1194	5414	5786	7412	4415	3385	9487	4961	3983	404	1422	3082	1628
s_4217	TGIF2LX	1410	3721	3232	834	4305	10081	5830	4231	4923	10727	15874	6250	1008	1985	1618	2203
s_922	HOXD8	1181	3719	2639	710	5226	4145	5802	3434	2718	7087	173	2143	427	1726	2065	1533
s_5566	Non-Targeting Control	3358	9151	9826	1793	14255	16574	20686	7362	9917	33181	28298	13699	1471	5953	7690	3918
s_2499	PRRC2A	1300	3390	3559	728	5357	10317	9882	4464	2833	8417	6950	3646	989	5274	4833	3581
s_5143	SP5	903	3542	4136	666	3359	7208	7991	2369	5585	11672	14189	4036	833	2109	1201	1795
s_588	NR5A1	1501	3700	4065	744	4120	9596	11269	3372	2677	13073	17558	4202	762	2321	1910	1472
s_4330	ZNF257	2844	8203	8755	1501	9772	13993	14359	8848	9657	19491	10572	9189	1580	3016	2524	2902
s_5200	MED11	926	2302	2065	593	4006	1905	1370	2475	2040	5739	9793	2076	602	792	570	1156
s_5399	Non-Targeting Control	1650	4716	5045	840	7662	10311	17250	5280	3290	7678	4470	4093	604	1882	1336	1344
s_2261	ZNF182	2374	6771	7986	1385	8454	19905	13178	11089	10050	20156	27948	7694	1274	3589	3824	2734
s_4250	TGIF2LY	1895	3749	3987	674	2231	6580	3816	2454	3761	10356	18578	5148	783	1580	2024	1874
s_3242	TAF5L	908	2464	2444	566	4676	4326	4203	2689	3650	4978	3574	4141	981	1974	1788	1884
s_1242	MITF	1472	4807	3820	1018	6348	8313	9934	4600	6884	12081	10254	5527	707	1986	2359	1628
s_824	HOXA9	1136	3327	3332	732	4439	9283	10815	3500	3902	9689	12392	5727	577	1702	1417	1446
s_2897	DMRT2	1435	3103	3198	696	3626	8271	4745	3898	4683	6657	13403	5997	1290	1296	1363	1544
s_3527	ZNF415	2943	8051	8946	1443	8176	11748	18549	9504	6337	27131	20291	7833	1024	2984	5841	3197
s_3134	ZMYND8	1045	3875	3104	815	3452	4765	6828	2019	4414	10726	10436	2955	463	1902	1519	1384
s_2651	TBX18	2841	7862	7679	1581	10064	15303	17347	8569	7958	15490	13067	7213	1755	2717	3469	2661
s_4695	ZNF433	2204	5283	3584	1117	4119	9564	9921	5771	4857	9251	4863	3004	598	1380	2514	1809
s_512	FOXC1	2082	4778	4976	969	4496	8621	6264	3460	5198	8128	3513	4972	546	2336	1902	1670
s_5345	ZNF316	2075	6254	4798	1052	2412	11596	10112	2768	5055	10012	16865	5198	1120	2208	1969	2501
s_5384	MICA	1062	2317	1513	564	2970	5043	5584	4017	5000	11022	14542	4900	399	1143	2194	1160
s_131	RUNX3	1733	4897	3789	882	3334	5464	11640	2510	4630	7318	6427	5028	519	1863	3542	1775
s_1539	PLAG1	2370	5679	5497	1361	8958	20390	17453	8932	5468	10295	15054	5946	817	1643	2338	1807
s_2762	ARNT2	2519	8200	8606	1449	13705	10932	13049	8994	7747	15393	22575	8024	1479	3215	2946	2714
s_571	FOS	821	3026	1776	496	2670	5111	2009	2374	3680	7514	3360	2029	627	1162	1160	927
s_5342	ZNF737	1831	4441	4645	858	5593	10089	13037	5404	3688	16719	17285	5324	864	1613	1860	2095
s_809	HOXA5	2084	7426	7998	1342	8566	12701	14686	6874	5668	16904	24895	8102	1129	3253	4469	3051
s_3884	ZSCAN5A	2243	5344	4952	1244	7385	15168	17210	7115	5103	11866	6910	5091	718	1784	2896	1479
s_2493	PAX8	1635	7313	6442	1234	6427	7455	7874	4296	5654	11085	10617	4361	1051	2629	2936	2060
s_2232	ZNF8	1976	5801	5480	1059	3956	7209	6390	3764	5941	12501	16926	7973	1482	2627	3383	2631
s_4020	PDCD1LG2	3080	9258	8003	2071	10135	14611	19385	9475	10565	22244	16491	8056	1338	3023	4003	2395
s_3631	ZNF304	2602	7447	7955	1694	8433	14659	12132	6979	12320	20473	20346	11947	1648	2931	4231	2284
s_5230	ZNF506	2106	4491	4189	753	4130	9405	8929	4931	3400	10739	11043	5073	947	2130	2781	1855
s_4490	FOXR2	1536	4784	5279	723	5909	11615	13058	5810	8737	15219	19058	13490	1133	1735	3155	2038
s_4096	ARID5B	2841	7383	4578	1490	7569	9460	11093	4949	9187	10137	14751	5183	1219	1888	2268	2331
s_4672	ZNF320	2750	7123	6422	1460	10247	15900	16294	8051	6995	17386	18180	5529	960	2765	2612	2542
s_3417	SIX4	1071	4456	3201	687	4062	5730	3868	3588	5361	6307	5180	4362	451	1200	3005	870
s_5435	Non-Targeting Control	2097	5361	4568	1274	7085	12055	8970	8123	5257	13612	3375	6891	961	2558	2283	1468
s_2620	HESX1	1313	4173	4037	889	5979	8907	9181	6810	3547	7857	16182	3419	449	1430	1366	1387
s_566	FLI1	1999	4289	3517	1048	6957	9147	13906	6728	4202	11751	9977	3728	523	1093	2219	1299
s_4617	TCF23	1408	5764	4137	813	5364	7271	6871	5123	6115	13153	22519	5961	863	2497	1748	2324
s_3510	ZNF416	2583	7392	6634	1371	7727	12342	16230	5639	5306	13679	14494	5450	1248	2464	5424	2137
s_2581	KLF11	1631	3687	2656	1015	7003	11934	10258	5336	2336	7353	10811	2751	782	1262	2399	1636
s_3327	C6orf48	1866	6583	8254	1309	4878	8285	10216	6051	5331	10478	8849	9125	909	2971	2008	2158
s_4606	CREB3L4	3615	7844	6329	1277	5311	13059	14062	6790	6050	10603	15147	4325	1338	3350	3513	2878
s_5213	YY2	2147	7230	6174	1253	6311	14662	13479	7523	8069	13682	11841	4882	1237	1529	1827	2528
s_491	EVX1	1827	3673	2907	1010	6135	10628	6419	6120	4639	11670	17024	6185	5133	4946	3824	2159
s_285	DLX1	2247	6782	6902	1261	8254	11353	9810	7271	2825	8897	15059	5781	776	2795	4182	2819
s_3394	PRRX2	997	2603	2525	584	2797	3836	2922	3675	1957	4316	6773	1385	484	945	1060	764
s_5462	Non-Targeting Control	1863	5476	4833	1066	5494	11161	13161	4851	9518	9948	15974	6739	1152	3839	3341	2769
s_1481	PAX5	1169	3761	3541	631	2231	6009	7140	2432	3397	7115	16799	3929	775	2569	3099	1974
s_3877	ZNF655	2196	7020	6129	1148	8330	16029	16457	5957	7318	14289	12273	7929	796	1922	2066	1871
s_1604	POU6F1	1706	5268	6670	917	4824	14499	12387	6371	6807	13487	20633	7408	1246	2579	1882	2501
s_765	FOXA3	802	2742	3447	480	2027	2948	4262	2268	2825	9155	1711	3179	316	1245	1172	1036
s_5398	Non-Targeting Control	3460	9203	9901	1704	9545	16801	13256	8147	6726	21115	31484	6521	1450	4009	4571	3598
s_2112	KLF10	2575	7187	7231	1266	6913	16497	15946	7809	8725	10956	11669	8290	1453	4324	3440	3641
s_2714	TBX4	1750	5085	4498	1038	4277	11300	10930	6174	7105	16501	28051	10939	1754	4089	4154	3392
s_4763	GSX2	1262	5251	4848	708	2424	4317	4840	2370	3177	5744	8165	3871	430	821	994	783
s_5873	Non-Targeting Control	1374	5657	4543	951	4141	7565	10288	4424	6340	12774	10784	5255	437	1317	1584	1222
s_3903	ZNF557	1690	4935	3584	1120	5292	11999	8143	5473	5125	12331	10113	5742	925	2120	1771	1332
s_2408	ZNF154	1908	5551	4450	885	6949	6297	4253	3604	3625	7977	18480	4196	1366	1592	1003	1880
s_3052	ZNF652	2313	6641	6219	1364	5766	15612	19423	8311	7649	16988	13217	6012	1070	3086	2577	2386
s_3102	SATB2	1598	5405	5411	1080	5735	11266	8265	4919	6475	10949	17940	6560	917	2449	2890	2854
s_2091	TGFB1	1669	3627	2450	796	6031	10615	10671	6914	3630	6962	11064	2667	320	1611	1926	795
s_30	AIRE	1277	3759	3234	746	4311	10123	10292	4518	5563	10176	3772	5724	1097	2481	3270	1664
s_3397	ETV7	2516	7206	8307	1427	8446	12739	19364	6677	9620	18740	17294	9820	1295	3584	4686	3013
s_505	FOXF2	587	1947	1573	413	2521	4521	2782	2078	1742	3431	1225	2065	489	378	641	766
s_2095	TGFBR1	2624	7044	5382	1344	7744	17010	14594	5065	3468	15356	14165	6422	1171	3776	5420	2125
s_5417	Non-Targeting Control	1310	4018	4394	759	3379	7639	4331	4025	4591	6320	5248	4474	643	2354	2986	2343
s_3896	IRX3	1590	4076	3784	820	7248	9202	6496	5175	6390	11605	12381	3714	998	2572	3501	1843
s_2205	ZIC2	1620	3884	4222	731	2580	9850	7409	4570	5240	12576	8223	6274	758	1552	1406	1653
s_3926	LIN28A	1811	5840	7657	1098	2382	7809	9731	2814	5126	12414	14019	4462	955	2389	1716	2433
s_2886	CXCL13	1715	5476	4388	938	6115	10111	12378	6077	4734	13163	20633	7815	1157	3047	1058	3141
s_5859	Non-Targeting Control	2449	7028	6333	1367	7845	15886	16253	7933	7713	12206	20912	6215	1517	2969	6185	2045
s_639	GLI3	2961	7993	7643	1892	7813	17374	13092	9879	11430	20843	26786	11542	1892	5154	5582	4187
s_3957	ZNF669	1613	4088	4344	1068	6121	10027	10542	6237	4286	12566	12282	5579	639	3100	2662	2578
s_5668	Non-Targeting Control	2617	7496	10290	1406	5195	7137	9328	5218	6760	13903	10390	6084	1480	3759	4640	3673
s_721	HLA-DQB2	915	3324	2216	654	3867	4471	6195	3624	1378	4804	4237	2810	442	1060	783	1405
s_1702	RORA	727	2667	3118	491	1513	4144	2242	1951	5869	9322	10297	5083	1171	871	1052	2104
s_3924	ZNF768	880	1821	1948	522	2986	3804	4328	2728	2807	3740	9841	2946	696	1150	1870	1227
s_388	ELF5	2423	9220	9261	1403	12080	18628	19921	10186	5178	16641	26188	7650	1062	3308	3078	2884
s_4195	LBX2	3457	5542	5786	1086	5727	8324	8982	5672	7173	12351	12912	7944	1137	3335	5869	2570
s_775	HNF4G	2388	6845	6739	1325	6223	8592	12853	4701	6244	15998	21791	5251	1139	4075	4291	3237
s_3043	ATF5	1250	3492	2289	606	5731	4738	2775	2394	4245	7417	8211	2266	616	1259	2325	1047
s_1814	SNAI1	1765	7863	7241	1099	4304	8149	4474	4699	3877	11933	9843	4853	504	1191	914	1550
