sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_2375	ZNF135	956	2140	3061	515	2644	5309	6494	2656	4078	6297	6580	2925	483	1334	1905	1085	1503	4741	8154	2234	3619	5100	4587	5203	1905	4345	4109	1003	2368	3397	3020	3071
s_4274	MSANTD3	1376	3258	3990	558	3271	3784	4370	3060	1997	5888	7369	3354	810	1037	1276	1272	3057	5212	6999	2081	4076	5693	8036	4206	2004	6196	3815	990	2793	3637	4019	2784
s_2289	ZNF35	1186	3572	10621	735	4712	5942	5142	3878	3124	8066	3190	3648	515	1619	2491	1161	1222	3814	8581	1269	2408	8225	7515	4212	2565	8264	4996	1104	3479	4364	5677	4298
s_563	FOXO3	767	2392	1751	411	2425	4834	3960	2513	2860	14560	16112	4640	1013	1761	1307	1568	2016	4657	4897	2485	2149	4630	6927	2995	1595	7129	6066	1460	2259	2739	2930	2042
s_5444	Non-Targeting Control	1682	6464	4068	1187	6259	10559	11712	6677	7614	12398	18244	7228	1218	2402	2378	2204	4500	5127	16614	3711	4250	11693	15359	8360	3447	13869	9685	2125	4957	5485	5163	4863
s_851	HOXB4	1075	4906	4363	679	3762	8678	6604	6052	3079	7966	19315	3677	571	2368	1204	1837	1905	3132	8258	2289	3842	7683	10144	8374	1920	6565	6233	1227	3316	3576	5397	3439
s_1286	MYBL1	1377	5628	5468	974	2930	5573	6586	4532	6224	13132	31301	6119	962	2073	2648	1814	4136	7023	9390	2241	5156	6182	8943	5034	3624	12683	10452	1965	4747	4410	6691	4727
s_4374	SP7	1844	3552	3391	942	5261	10818	8336	4589	4423	11797	4748	2666	997	2026	1030	1877	2444	4443	9457	3103	3076	4966	9535	5289	2210	7924	6851	1035	3512	3502	4306	3162
s_5967	Non-Targeting Control	992	3188	3345	601	3321	8899	8378	4628	2638	7810	3243	2905	781	1848	2446	1497	4895	4553	10020	3196	2521	5173	4779	2232	2998	7679	9248	1358	3034	3555	5349	3187
s_245	CREBL2	1111	2635	3411	477	5724	6529	3934	4131	5114	4875	9876	4514	417	876	856	846	1374	2555	7689	1975	3542	4285	9844	2165	2830	4241	4076	855	2954	3564	4571	2656
s_4053	TCF7L1	1436	3369	3198	788	3657	8617	6043	3124	4450	15343	10516	3500	656	1647	1451	1806	1349	3280	4176	1696	3086	8495	4018	3384	2065	3131	3509	809	3119	4063	4158	4370
