sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_1896	SRF	1911	6738	6643	1217	6214	11681	15433	6320	5661	14908	24950	7457	869	2240	2465	1814	2692	7573	12335	3205	3755	10571	14288	9147	2779	8114	4897	1444	4232	6019	7064	4451
s_2629	FOXH1	1704	5553	4262	973	5279	9043	15180	7032	5273	6652	14064	4662	910	1612	3857	1771	2731	5938	7712	2776	4166	7807	8303	5957	3887	8787	10513	1773	3334	6040	7046	6522
s_3742	TGIF2	1833	5447	4517	927	5724	8289	7882	5158	9354	13085	20673	7228	1858	2311	3661	2983	2618	6324	10233	3920	3724	8048	7806	3850	3059	6965	6264	1396	3905	3767	3755	3700
s_5929	Non-Targeting Control	1389	5865	6787	1066	5770	10775	8116	4720	4445	17118	19248	7189	961	2981	2804	2132	6796	7940	13796	4996	3745	8669	11228	9238	3207	12417	12395	1990	7272	7669	6225	8201
s_239	ATF2	1960	3894	3795	766	5645	6825	8212	3841	6081	13954	19735	6365	1459	3076	2725	2965	3651	6191	13319	2678	3688	8389	7629	6811	3951	10048	7096	1672	4450	4262	5879	4981
s_2320	ZNF74	1822	4629	4460	1000	4188	7334	10125	3556	7928	18107	14324	10101	1151	1877	2336	2278	3656	6848	15067	2406	3633	7008	7491	6901	3331	5350	3613	1621	3979	6324	5915	3969
s_2654	IL1RL1	3255	7808	9202	1806	10833	20064	21016	11175	5576	18125	27601	6791	1033	4079	3271	2498	6258	14107	21843	7243	7526	13715	17453	9725	4679	16352	16950	3016	6894	8959	9424	5816
s_5893	Non-Targeting Control	3365	10969	10022	1700	10285	18959	11478	11028	7576	14491	14488	7548	1502	2929	4781	2596	3964	9845	18656	4574	5240	10818	11607	9274	4403	15682	10025	2002	5548	7495	10808	6150
s_4259	IL33	3471	8989	9034	1668	9455	16944	18924	8829	7917	20993	23192	7961	1619	3964	3633	2952	4204	7260	10566	3697	5727	10475	14268	6077	4698	10950	9632	1779	4025	7023	6882	6141
s_5703	Non-Targeting Control	1998	5933	6681	961	4499	10703	13129	3669	5244	10894	9294	6258	802	1437	2628	1661	2459	6925	11257	2020	3072	7226	10016	6558	2840	8654	9835	1554	3973	5135	5563	4235
s_1878	SPIB	2083	6634	5147	1118	7107	9209	10737	8849	3036	9065	14037	3054	561	1752	2054	1541	4503	6563	11706	3312	6835	13585	14123	10135	4448	9297	6714	1910	4527	5600	6126	6061
s_2032	TEAD1	1973	6317	6163	1253	7679	11169	11129	7249	4223	10864	12153	4904	666	1899	1791	1866	3639	6458	18269	2756	5536	31121	32784	19414	2717	12354	8500	1484	3812	5264	5539	4032
s_2217	ZNF3	1777	4797	6022	908	7654	11061	10583	4774	16780	13258	16933	11985	1014	1438	1621	1590	1252	2678	6265	1197	3622	4997	4748	4107	2808	5286	6352	1168	3341	4659	4779	4363
s_542	FOXE1	2241	8341	8249	1362	8596	12255	22177	7414	6181	17566	21099	5378	1299	3207	4113	2436	2962	7559	10076	3931	5879	9464	13107	7635	4490	9224	7293	1839	7373	6547	7302	5793
s_2026	MLX	1627	4912	3421	878	2357	5927	5608	3803	5084	14982	17643	5438	719	1861	2044	1498	4208	6263	9210	4129	3268	8289	7138	4518	3367	7599	5595	1427	4045	3372	4099	4309
s_2260	ZNF19	3034	7286	6750	1648	12525	15768	15733	9167	10446	16122	30100	7724	1750	5123	5544	3239	6992	11864	17138	7646	8450	13516	18428	8785	7766	15097	15240	2857	9681	9273	7123	10831
s_2812	TOPORS	1681	4920	4919	1080	7403	7910	7301	4640	8474	16811	16399	7690	986	1835	1553	2959	2211	5039	7528	2190	5054	9366	12772	6485	2632	14263	9771	2135	3568	4552	5355	3513
s_31	AIRE	1060	3121	4076	540	2114	3893	3020	3006	2021	5062	5018	4172	239	1918	1477	1119	2770	5190	5307	1897	3812	3834	4115	3322	2163	5316	4449	833	1273	3838	5342	2248
s_613	GBX1	1221	4570	5403	633	4155	6350	6223	4258	3268	3915	5263	3435	629	2017	1576	1277	3895	5805	8538	4322	2726	4693	8413	3284	2481	4958	8499	1381	3685	4480	5660	6064
s_3081	ZNF423	1345	5938	4966	881	3125	6503	12408	4577	4216	10411	8706	5277	745	1604	2235	1561	1967	3875	7172	2153	3497	5785	7563	3187	8991	11225	7026	3559	3615	4218	6409	4034
s_1611	PPARD	1282	5240	4492	792	6323	5620	8799	4120	4481	9136	12954	4670	552	1585	2250	1577	1806	3885	11034	2128	3728	6590	7768	5371	2873	6214	3934	1264	2969	3966	3990	3024
s_3730	HIVEP3	1417	4285	3406	885	5219	11246	12400	6216	3712	7914	13292	4245	401	666	1173	982	1548	3352	5461	2035	3358	6242	9587	4191	2459	7026	7583	1325	2847	2647	5263	3477
s_3714	OVOL2	1799	6240	3773	1009	7429	11191	9344	4624	1907	8821	9428	4676	412	1297	1820	1741	3996	7735	12387	4322	4812	6052	9886	2968	2901	8295	5984	1523	3890	3685	4738	2949
s_309	DMRT1	983	2696	2945	461	3365	5590	3390	3296	1719	5805	13676	2568	737	1728	1538	1615	2325	3466	5745	1245	2961	2923	4849	2824	1537	3154	2361	727	2036	2538	1559	2991
s_2473	ZNF223	2486	5792	5634	1117	5065	11597	7111	5179	5790	14812	14382	7474	1037	2920	3024	2617	2573	4943	16338	2821	7587	9414	10423	9953	2943	9021	8703	1341	4189	5170	6304	5410
s_903	HOXC12	1212	3189	3534	744	3656	5900	2237	2589	3162	6608	5065	2485	281	1221	2736	1410	3327	4791	4183	2271	1187	5730	9182	3602	2731	9923	8248	1488	2742	3776	5431	2954
s_3241	TAF5L	2281	4765	6696	1136	5649	13093	16221	6017	5062	11394	9622	5427	1422	2936	3361	2520	4528	9010	10335	3615	3866	7887	9654	5150	3039	8938	7316	1665	3572	6705	5816	6181
s_821	HOXA9	1887	6763	4828	1314	6213	7282	8599	4710	4806	12681	16311	5109	721	2220	1111	1912	4265	9707	12338	5007	6350	7818	9904	6462	4999	11246	12097	2102	3314	4365	6558	3796
s_2066	TFCP2	2162	7506	5995	1355	9106	18010	15549	8265	7478	14328	14214	6593	1173	2351	2569	2298	4566	7738	16425	5234	4857	10531	16045	7768	4264	12947	9924	2008	5415	6985	8586	6880
s_1020	IL6	2320	7450	7474	1334	8087	13547	14675	7991	8392	22065	31264	9844	1091	2203	3083	2203	4887	8413	14155	4302	6054	13068	14667	10956	4290	12139	5922	2016	6001	7880	7639	6405
s_1309	MYF6	2789	7691	10537	1739	15134	19867	17876	10100	7044	11860	14732	7665	1083	2977	4335	2551	4074	5266	13752	3715	4285	11095	15398	6292	4115	14024	12127	1751	7471	10182	12512	6033
s_3904	ZNF557	2540	7205	7426	1386	9538	12897	14637	7091	5196	20368	25198	5535	1160	2810	2330	1863	3249	7176	12079	2569	4526	9785	13306	6795	2954	12449	9780	1629	5438	5847	8478	4850
s_5251	DPRX	1791	6790	6923	1285	4538	11486	12758	6069	6320	14108	18375	5958	1171	3241	5303	2562	5105	8230	15164	4645	5282	10567	12119	4842	4293	12619	7958	2815	7660	7347	7125	7965
s_5389	CCDC169-SOHLH2	1584	4094	3745	982	6624	11897	12430	5319	4784	12452	3849	5913	724	2433	1906	1602	3613	8752	20281	5341	7067	13035	15340	8481	3556	9275	9224	1929	5333	5121	6508	4265
s_4399	ZNF816	1972	6057	5213	1165	7682	9083	12875	9311	6457	14963	18439	6527	707	1930	2308	2077	4028	3206	11282	2288	6306	11538	11378	8446	5819	12071	8049	2569	5688	7635	8180	7739
s_5695	Non-Targeting Control	2497	5666	5836	1265	9928	13199	12212	7989	6394	11284	15783	7168	1215	2256	2239	2606	5449	11117	21357	7103	5130	5847	9948	3945	4486	13192	11213	2521	5085	4995	5298	6645
s_2166	USF2	2267	5872	6702	1218	7010	8017	13298	4507	5726	11046	17884	3714	2355	1507	1791	2629	2665	5470	7918	1947	3376	8026	8079	5747	2939	5214	5485	1250	5109	5648	6941	3581
s_1010	IL4R	2236	6431	7810	1056	5797	10406	12462	5664	5498	10513	17017	4441	1031	2144	2331	2319	4561	9856	23872	4619	3254	6823	8159	4924	3587	8432	6704	1829	4839	8833	8297	7157
s_2907	KLF1	1014	2063	1578	343	3729	6521	4496	3429	2331	1731	8113	1864	273	397	191	395	1482	1340	1478	1151	2130	3327	2353	2851	1955	4221	3107	739	1237	1275	1064	1245
s_1484	PAX5	1306	2738	3596	577	4900	4848	3338	2828	4760	4624	3418	4428	671	1721	2315	1570	1194	3238	5306	1273	3308	5808	5797	4956	3844	7807	5921	1558	2591	3525	3587	3276
s_2575	NR0B2	2183	4072	3189	759	3919	9179	7446	2778	2979	5142	9879	3693	682	1661	2302	1523	2849	3085	5851	2266	1842	4508	6463	5328	1736	4151	3630	831	2328	2265	5334	3026
s_1167	MXD1	1291	3472	2541	735	3641	9210	10535	1957	2198	10723	19792	4361	660	2008	1297	1788	1744	4655	5795	2117	2598	5088	6579	4426	2218	7822	6138	1126	2156	3931	4692	3559
s_4029	LY6G5C	1826	4874	4425	982	7122	8380	7635	4872	8272	10533	20676	6187	953	2326	1746	1610	3965	7764	9194	6058	4441	7504	9873	4685	2620	8428	6034	1587	4497	7038	7750	5379
s_622	NR6A1	2348	7918	8957	1277	7084	14573	14869	7879	7445	15783	20702	8356	1930	3845	3633	3031	6577	10705	21488	5867	8963	14938	18169	9061	5555	18745	11758	3943	7919	7419	10572	7295
s_923	HOXD8	732	2084	2848	498	3954	4987	5066	1944	2356	4774	4099	3138	278	931	1032	1005	1270	2141	4083	1372	1718	3585	3173	2962	1266	4691	3311	703	1909	1630	3787	1443
s_4269	ZNF682	3051	7066	7235	1368	9970	10095	8782	10005	8460	12644	9617	7182	1445	3438	2963	2611	3202	5083	13740	3016	7402	9721	14376	5917	6360	14315	16665	3335	7001	8707	9485	8655
s_2171	VDR	1250	4669	5393	920	5809	5970	3079	4050	4233	9014	12405	4145	799	1844	1805	1339	3784	4128	11470	2896	4009	4851	7667	3015	2879	8163	4880	1608	3105	4762	3841	3298
s_382	ELF4	1780	3193	2531	704	4218	7485	5377	2988	2005	11050	14093	3132	459	1216	2449	1488	743	5067	6670	1432	2235	4199	4823	2599	1923	5933	2941	1044	1816	2983	2068	2006
s_1802	SLAMF1	2087	6550	5944	934	6465	10696	7055	4489	8468	14398	24372	11111	1079	2070	3204	1871	3462	5251	7433	3910	3837	6825	10531	6903	3639	7961	6234	1612	4565	4167	3797	4033
s_884	HOXC6	1279	4059	3142	841	3573	8332	6394	4002	6759	8665	11029	5871	767	1699	1421	1891	3411	5524	6796	2664	2798	5454	5882	4394	3937	7539	5646	1756	2474	2598	5281	3263
s_227	CCR8	1876	5316	4050	1192	6323	10162	8521	6558	4502	10493	18349	5729	1098	1663	3505	1749	4411	6663	9469	4821	4264	8019	10571	8128	3980	13355	6138	1644	4254	5112	8763	4542
s_4147	KDM2B	1177	4203	4792	818	3206	8965	7527	4601	7126	9886	12953	6336	569	1785	2091	1945	2917	5063	11159	3848	5607	9102	9579	7329	5631	9018	5668	1386	4115	5744	5565	4495
s_5257	DUXA	2201	7164	5951	1251	8669	13149	14403	6713	7867	18997	28026	8808	1039	2415	2553	2362	4525	8130	14389	5428	6757	9442	13772	8527	4647	15351	7996	2190	6827	7384	8094	5837
s_2896	ARID3B	949	4043	3940	707	3710	5934	6824	4202	2704	4610	5497	3018	569	1390	1715	1387	2903	4867	8455	3323	3825	7318	7621	4347	2067	5043	4537	809	3342	4134	5675	3884
s_2367	ZNF133	1828	4385	4208	916	5155	9298	8602	6712	7196	14913	28339	8555	985	1711	2338	2031	4253	8177	9762	3489	4982	7251	7662	4653	5396	16588	9459	3648	3791	5230	4242	5104
s_2806	ZNF197	1243	3793	3724	852	2193	5315	9008	3795	4815	10586	10501	4991	521	1255	1427	1124	3507	4487	8680	2644	3063	8172	11614	6689	3682	8196	6792	1648	3428	6351	6655	4797
s_3724	DMRT3	1552	4654	4694	901	2758	8572	9517	4134	4584	11437	8306	4462	878	2127	3327	2573	3215	5735	8572	2466	5207	8122	7677	5952	2494	9265	7419	1998	3155	5566	4104	4581
s_5665	Non-Targeting Control	2989	9912	18995	1720	7581	15341	20804	10752	6955	26276	28479	14385	1959	3431	5785	3792	7295	13019	28179	6267	7604	16576	19822	10432	5954	23951	20308	3621	11715	9732	13146	11025
s_3049	ZNF652	1864	6861	7112	1186	5494	12001	13994	4026	6069	16611	16374	6212	1255	3299	3919	2361	5301	8671	16760	4424	5256	14251	19261	11900	5983	10449	13290	2394	5527	5026	8343	5030
s_5393	ZNF891	1873	4480	4505	1009	5116	10543	10746	4643	6076	9694	9797	5238	812	1701	1783	1731	7623	9774	11818	5475	4346	9172	13220	7821	2948	16114	9353	1913	5205	5405	5604	5161
s_1211	MEF2A	1676	6439	5186	1001	2998	10130	9858	5064	4496	13916	6024	5247	875	1455	3605	1582	3523	8406	11520	4040	4291	8442	9145	5253	3138	10617	7723	1521	5408	3946	4917	4363
s_4422	ZNF573	2371	6454	5626	1370	11696	12608	13908	8458	5173	16318	12820	5929	1272	2419	3322	2542	5099	9373	19547	4539	4626	10729	16916	8753	3870	11446	7964	2140	5974	7752	7213	6394
s_5219	ZNF705A	1511	5446	4157	809	3348	6588	8776	4178	5332	7180	11538	4244	529	1767	2960	1365	3426	9395	16825	4070	3483	7602	9174	4624	2346	5412	4222	854	5634	5150	7940	6961
s_286	DLX1	924	2512	1983	471	2846	4049	5674	2373	2819	12774	7126	4184	813	593	971	919	1479	2713	4531	1621	2528	4080	5354	3259	2020	5446	4308	841	3366	3168	2933	3729
s_1679	REST	1164	3068	4641	595	3600	6666	7328	3099	5147	5220	14615	3286	704	799	1156	705	1331	2775	9051	1570	2404	5195	6081	4616	3272	6003	5188	1434	4404	4892	7176	2759
s_2115	NKX2-1	1908	3750	3050	743	2589	5797	3993	3471	2594	15573	10886	3574	618	834	1595	1153	1474	3410	4298	2159	2980	5598	5578	5143	2555	9365	5144	1451	3444	6408	4116	4133
s_2794	NR1H3	2531	5666	5726	1154	10884	12253	12832	6819	4760	13420	18083	6430	1473	2692	3851	2358	5967	8187	19625	3926	4579	9191	11373	7625	4334	7580	7960	1686	5321	5015	4992	6043
s_5678	Non-Targeting Control	2758	9857	9904	1788	6682	20562	21562	8587	8446	18858	15931	8108	1210	4372	3631	3009	10074	14110	31334	7329	4136	14626	22401	7373	4394	15439	16286	2739	5250	6768	10910	6335
s_787	TLX1	1694	3645	4635	887	4964	6346	8097	3593	2683	6651	7011	2877	755	1437	1171	1760	2934	4235	10599	2173	2407	6081	7001	4996	1772	9931	6394	1234	3775	2865	4069	3275
s_5229	ZNF506	1904	6684	7531	1116	4315	8976	9851	5005	11054	14165	17823	8266	1219	2656	2896	2379	3855	7135	11698	2715	4811	10230	9647	4614	3484	10347	6577	1791	12258	5681	6409	10304
s_5416	Non-Targeting Control	2911	4857	5023	1132	5846	9572	11539	5688	11028	13538	15694	13713	981	3792	3061	3426	3702	4360	7773	3278	4010	8526	9063	5505	3073	6599	5455	1546	3821	7028	6151	4531
s_4116	ZNF527	2666	9022	7328	1561	7829	10512	11811	6296	9831	18727	28669	8482	1112	2662	2745	2715	2724	9576	12615	4160	4815	12180	11739	8740	3514	9921	6471	2386	5360	6231	6986	5836
s_2323	ZNF75D	2260	4702	3516	1039	6133	8865	6835	5927	6121	10027	6088	3894	460	2303	2409	1976	3740	7436	9457	4803	3800	8523	10694	6941	3959	11861	11962	2074	3126	3152	4589	4398
s_1879	SPIB	1027	3445	1794	510	3591	4919	4300	3161	5221	5367	14302	3453	420	967	719	1178	2125	3373	5802	1266	3828	4330	5358	5900	1973	5296	3640	818	2812	3009	2705	2156
s_5447	Non-Targeting Control	2394	7217	6758	1423	7230	12030	10149	7309	7770	27148	37403	12178	1549	3646	3979	3591	4427	12488	25084	5250	5549	9512	14926	9884	4564	9584	11085	1950	5449	8773	8037	6788
s_1083	PDX1	2765	7033	5400	1511	12241	15441	14170	10113	7347	11575	23669	5604	1170	2916	4497	3138	4926	7005	8854	4344	6593	12835	14116	8525	6589	18755	15583	3217	7013	8308	9600	7095
s_895	HOXC10	1711	4690	4286	908	7826	10208	14403	5329	3309	12472	14072	3825	1138	2075	2834	2317	2685	5297	10554	2939	4884	6089	9458	6177	3096	7721	5510	1720	4071	5175	5881	3503
s_405	EMX2	1198	4057	3600	753	6034	6878	5782	2870	7054	13242	16105	5928	1195	2659	2439	2084	2276	5696	6937	3618	5232	14362	9956	7858	3255	8157	7583	1867	3139	6386	5774	5051
s_2070	NR2F1	1666	5223	5703	1019	8240	10024	14992	6643	2958	7881	6065	5141	873	1900	1455	2582	1989	4758	8978	2905	4534	6848	9787	4231	4507	11723	10050	2569	3681	4375	6265	3908
s_4854	FOXK1	3700	4293	3737	1303	10877	5099	5734	4936	13140	13075	16752	7523	1257	1519	1435	2306	3097	4675	6099	2300	4005	6921	8034	7896	5005	6191	4207	1584	4370	6288	5989	4384
s_1281	MYB	1877	2119	1255	989	11509	2291	3327	3361	4993	4015	9488	3711	1335	907	792	1375	8189	3434	3193	2915	5623	2713	3444	2952	3493	7259	6068	1660	9117	4137	1441	4451
s_2034	TEAD4	2139	4536	5773	1083	5565	7692	7263	3867	4896	12884	18973	7557	1608	1960	2108	3767	2798	5699	10812	3513	4328	8635	9770	4374	4183	9218	7551	1994	4195	4416	5458	4110
s_2203	ZIC1	2931	9190	7287	1632	9070	11545	9713	6873	6553	21072	12120	7366	1016	3809	5488	4275	2730	5130	12774	3582	5758	16303	17306	7757	3929	9138	8277	1672	8036	7793	10228	7339
s_1316	MYOD1	831	1874	2411	400	3097	2951	5651	2046	4050	4520	11984	2977	445	1074	1807	1016	932	3436	4270	1254	2211	4714	7070	1626	1777	4239	7067	717	1869	1670	2842	1419
s_383	ELF4	2351	6665	5796	1279	10193	12491	14817	7441	8883	14032	22985	5847	1052	2473	3095	2484	4426	7383	10856	3205	9223	9551	15644	4912	5074	10569	12051	1753	4947	6749	9422	5378
s_1658	RARB	1404	3478	3317	766	3554	5013	4916	4547	2456	13654	14462	4616	1044	1480	2189	1534	2358	5968	7272	2555	4216	6674	6615	3851	2720	6836	3364	1103	3375	3301	4021	4330
s_5939	Non-Targeting Control	1887	6023	5495	1291	7686	7180	7371	4029	6265	16516	17206	7574	1333	1709	2887	2313	4238	5827	13665	3847	4749	10480	11847	8939	4315	8178	4837	1788	3242	4983	5328	3829
s_5691	Non-Targeting Control	2548	7958	8392	1296	10181	14769	15221	8087	8214	11996	30994	5201	1398	3845	3892	3347	2990	9519	17216	3996	5788	9287	13860	5339	3142	12207	10955	2194	4108	5827	9201	4951
s_2511	LST1	1048	2541	2140	494	1973	5461	5114	1901	3177	8649	6027	2704	417	1326	1001	1394	1242	3631	6017	1823	1607	3773	6172	2721	1042	4856	4265	734	1931	3040	3642	1954
s_3473	ELP2	1830	5117	4232	884	3227	7932	7942	4847	3182	10447	13116	5411	808	2358	2646	2294	2627	5272	11441	3524	2856	5853	10042	3733	2756	8500	7345	1512	3769	6235	5719	4085
s_151	CD1D	1271	3402	4406	607	5121	6716	9027	3566	4005	13633	16313	4197	845	3123	2221	2110	2473	8103	11349	2879	3344	7985	11908	4941	1570	9536	7107	1000	4616	5230	5794	4530
s_2923	AP4B1	1323	4156	2928	612	2551	4847	4057	2101	3059	3952	6288	2569	434	548	935	566	1081	3596	4798	1248	3312	4680	5684	5230	1510	3381	2217	1057	2265	1819	3389	2803
s_3900	IRX1	1756	3701	4114	1004	3159	9344	11445	3591	6481	15509	12586	6272	1062	2439	3311	2615	5141	9156	9750	5050	5231	5536	8374	5559	2575	7318	6605	1147	4524	5361	5352	4929
s_2764	ARNT2	2175	6021	5252	999	6258	12459	14196	6512	5828	9378	23668	7902	1273	2521	1555	2218	5010	8261	12526	5770	4938	7571	9206	7440	3911	11269	6972	2665	4911	7928	7433	4630
s_1165	MXD1	1123	3297	3308	603	5341	6688	6955	5841	3624	9288	8055	4902	515	1407	1846	1256	2785	6118	12311	2705	2918	6394	7322	4963	2975	4939	4269	1067	5083	5054	4427	4064
s_1977	TBX3	2218	6606	5101	1082	8010	14961	20993	6836	9371	26462	42519	9605	1788	3692	5952	2852	4211	10415	26572	4475	6107	15116	19660	9984	4900	10667	9262	2116	5614	7835	9118	7386
s_1427	NPAS1	5852	8622	5569	2059	6311	17285	13024	8876	6383	13409	7159	6710	734	2897	3084	2060	3711	7695	12640	3776	5498	10902	16519	5038	3757	13903	6826	2433	4976	6806	6701	6221
s_213	CCR5	1838	5430	6944	917	6141	13702	9920	5017	4508	8153	8526	5252	760	1797	1134	1449	3057	6595	12302	3350	4080	7170	10925	5970	1861	6286	4419	1244	3740	5104	7307	4433
s_1123	JUN	838	3359	2646	646	4676	4913	5451	2604	1461	8454	4597	3403	448	1086	1056	734	1638	2581	2463	848	1823	4995	4360	3515	2238	2671	1572	624	1803	3742	3043	2635
s_4184	ZNF566	3011	7572	6284	1709	13432	17078	20932	6156	7968	17432	15750	8798	1974	3610	6071	3877	3951	7610	9816	2906	6444	10988	15205	8528	4585	14867	12472	2256	6898	5965	9096	6752
s_1938	TAL1	784	1403	1998	376	5633	4834	3243	3199	4385	10399	13214	4838	481	620	527	939	1811	2831	3562	1813	3632	4435	5362	2715	1247	4443	4004	515	2943	2255	3453	3153
s_5616	Non-Targeting Control	1453	4992	3823	924	3688	12055	10096	5249	5466	7791	8655	2782	1011	2449	1311	2227	1382	4120	7806	2196	3845	5936	8001	3850	2500	5615	5543	711	3095	2526	4071	3872
s_4215	ZNF30	2097	5868	6099	1264	7886	12521	15498	5673	5926	13060	11610	5815	920	2115	2090	2068	2867	7279	18956	3866	5191	8725	10158	5841	4891	12772	7208	2252	4949	4768	6099	4871
s_2243	ZNF708	3079	7593	11977	1674	6918	20235	15035	9137	7014	21307	44590	8998	1666	3366	3845	2399	5244	12582	23367	5688	6260	13243	17521	8308	4941	13938	16406	2935	5233	7200	10013	6625
s_5572	Non-Targeting Control	3338	9306	10477	1762	5358	17632	14764	6229	11117	26030	23587	12001	1448	3340	4508	2531	6705	12056	19177	7282	7258	11909	16418	8405	7924	21420	11576	3437	8282	8782	10613	8807
s_882	HOXC6	1243	4300	4601	918	4735	7187	8965	4801	4467	10724	10113	4362	780	2301	1822	2290	3255	2730	10101	1380	3148	5036	5995	2355	2388	6697	8145	1170	1824	4137	3670	3260
s_3820	HIF3A	1180	4810	2647	761	7048	3750	7773	4919	4178	12696	18908	3730	1471	1210	1173	1884	2802	5590	10172	2726	4603	6874	5525	3164	3380	6763	7722	1471	3565	6872	5108	5166
s_2030	TEAD1	2381	7449	8266	1210	9118	13109	9139	7003	7685	25593	27076	10409	1147	2463	3889	2799	5655	11915	25251	6520	7113	12920	16597	12268	4971	17630	13148	3207	5836	9414	10570	7448
s_4323	IL17F	2568	9237	9169	1625	8408	16749	19157	7427	10726	23792	42128	8316	1465	3962	4501	2868	4426	11493	23616	5218	5711	16651	20484	9378	7197	19072	11087	3285	5765	8855	10118	7534
s_5729	Non-Targeting Control	1656	5284	3956	1038	6598	11895	11996	6160	6335	11444	12944	4769	775	1965	2394	1690	2064	5947	6881	4306	3873	8148	11207	5738	3536	13435	8946	1552	4801	5020	6865	4791
s_4865	FERD3L	1627	5191	3684	969	5147	5237	6261	3945	2615	5774	15552	8337	812	1626	1552	1366	3099	3671	5217	2816	2994	5579	8059	5688	1774	5664	4224	979	2922	5528	5324	4181
s_3433	HES2	1383	5843	4408	709	11313	5065	6670	2905	2706	5865	6994	4583	726	744	801	1270	1908	3553	8336	1263	2827	5680	11028	3050	2192	8059	6149	1479	2141	2559	2380	1452
s_3938	ZNF385D	1623	3451	3922	966	4483	6839	5178	4174	2897	11048	19176	4726	1476	2461	2723	3029	1658	5382	9838	2157	2622	5649	7646	3019	2408	6636	4685	1133	3667	4897	4356	3724
s_4772	ZNF384	1934	6610	5117	1147	7838	8318	7316	3232	5221	6279	14051	4419	996	2525	1618	3232	2891	4440	20785	2639	3962	5119	7767	5038	3137	6840	4947	1374	4609	4856	6624	4399
s_1220	MEF2D	3556	5316	3355	1603	10482	13621	16121	12172	9589	9513	11762	7420	1007	2779	2937	2233	6621	4978	6289	4258	5137	7074	8362	6929	2734	7663	5273	1809	6020	6143	5679	5038
s_2135	TP73	1131	2830	3589	628	3451	7556	4913	3844	6613	6653	8403	3055	555	1930	1184	1355	2043	5125	7810	2571	2597	6783	8945	5283	1432	3652	5789	826	2218	3528	4754	3410
s_1726	RXRG	2977	4905	6982	1211	9328	11023	13022	5776	4754	16613	9677	7279	729	2245	3790	1840	3096	6458	15420	3238	4490	8801	10585	7031	3460	10462	5178	1988	4253	4075	4609	5170
s_463	ETV1	2324	8121	6773	1305	7859	11322	14846	8793	10470	25699	21593	10330	1398	3440	1994	3176	3879	7450	15719	3162	7307	9606	15333	6533	4884	11344	9518	2167	5485	6075	7292	5726
s_4048	ZNF611	1004	2814	4068	476	1728	2454	5182	2816	3091	8670	9804	2609	539	1258	2178	1173	1481	3112	7016	1302	4023	5257	7456	5739	1860	6345	7063	1014	3031	4058	5548	3109
s_3418	SIX4	2330	6084	7051	1231	7435	10155	11316	5359	6363	13981	20348	8139	1276	2066	2820	2955	5322	9242	13254	5200	6180	9089	11000	8834	4746	9170	7766	2324	5090	6288	6215	6050
s_2583	KLF11	1377	3054	4709	679	4472	12644	8690	4830	4303	8213	2905	3700	770	2799	3292	2550	3416	6286	6571	3970	3129	4076	6955	5660	2408	5361	5182	1204	2798	5059	2859	3404
s_5700	Non-Targeting Control	2814	9025	7411	1832	4027	12758	15732	5555	9811	12308	13393	9362	2034	3301	3840	2845	4414	7664	12294	5437	5208	14211	15193	8187	3802	11931	7324	2374	4494	6239	7506	4883
s_1762	CCL5	2442	7928	6093	1429	5358	9298	13230	5963	5730	36074	36590	7966	1129	3587	4319	3036	2440	4789	10880	2728	5582	8116	10844	6624	3849	12967	6675	2851	4629	5294	6146	6885
s_3905	BHLHE41	1226	4668	5099	599	4266	8351	7863	4529	5624	13416	7381	4589	993	989	1033	1362	2686	6274	11621	2834	3474	6235	8220	6056	2356	7217	5164	638	3183	4261	4222	3666
s_2882	AGPAT1	2047	3145	2620	795	4000	6018	6922	3165	3439	6335	18197	3692	976	1552	1726	1988	2252	2989	10602	1487	4268	8956	7548	7382	2683	6539	7066	1494	3889	3709	4848	3549
s_1974	TCF4	2198	5722	5252	1201	8248	11999	10247	6506	5879	13523	12814	5084	1004	2628	3472	2857	7164	7102	14024	4327	5286	10373	9533	7525	3560	10891	7890	1780	6139	7620	7297	6073
s_4459	LIN54	749	2726	2040	514	1773	7931	5146	2111	4940	9422	11175	3993	559	1326	2570	1159	3644	4057	4216	2406	2070	5303	7500	2920	2063	6073	3878	797	2546	3010	2851	2364
s_3587	ARNTL2	1735	5706	6384	817	5707	6265	8637	4140	6000	12701	6418	5047	560	2000	2453	1697	2644	7939	13623	3704	5090	8227	8739	7703	2545	6610	9377	1173	3971	5460	5241	5000
